"CTYNAME","Pop","GrowthRate"
"Willacy County",21515,"-3.2033"
"Moore County",21485,"-2.3720"
"Lampasas County",21229,"7.4016"
"Colorado County",21217,"1.6529"
"Hutchinson County",21198,"-4.5651"
"Gaines County",20901,"18.8300"
"Gonzales County",20826,"5.1924"
"DeWitt County",20187,"0.6632"
"Lavaca County",20110,"4.4404"
"Jones County",19817,"-2.0754"
"Frio County",19816,"14.8221"
"Freestone County",19808,"0.0303"
"Montague County",19596,"-0.6086"
"Deaf Smith County",18760,"-3.6219"
"Bosque County",18691,"2.2931"
"Burleson County",18389,"6.6895"
"Eastland County",18322,"-1.4628"
"Andrews County",18128,"22.0823"
"Young County",18045,"-2.5753"
"Falls County",17335,"-3.1294"
"Robertson County",17284,"4.4098"
"Leon County",17270,"3.2524"
"Lee County",17144,"3.3269"
"Scurry County",16866,"-0.3721"
"Reeves County",15695,"13.4360"
"Pecos County",15673,"0.9793"
"Karnes County",15650,"5.1112"
"Jackson County",14874,"5.5567"
"Nolan County",14751,"-3.2531"
"Trinity County",14740,"0.0747"
"Madison County",14422,"4.9942"
"Zapata County",14190,"0.7312"
"Callahan County",13994,"3.5595"
"Newton County",13746,"-4.8588"
"Comanche County",13534,"-3.0029"
"Lamb County",13158,"-5.9740"
"Camp County",13033,"5.1303"
"Wilbarger County",12820,"-5.1144"
"Dawson County",12619,"-8.7365"
"Morris County",12339,"-4.4969"
"Terry County",12287,"-3.1147"
"Red River County",12175,"-5.4516"
"Live Oak County",12166,"5.2786"
"Rains County",12159,"11.4176"
"Zavala County",11983,"2.1743"
"Ward County",11720,"10.6391"
"Blanco County",11702,"11.3416"
"Duval County",11212,"-4.3508"
"Franklin County",10766,"1.4799"
"Sabine County",10589,"-2.6120"
"Clay County",10456,"-2.6171"
"Dimmit County",10308,"2.6387"
"Runnels County",10234,"-2.6446"
"Ochiltree County",9947,"-2.1927"
"Marion County",9928,"-5.3394"
"Parmer County",9864,"-3.8971"
"Stephens County",9433,"-1.9133"
"Brewster County",9267,"0.0756"
"Somervell County",9016,"6.0581"
"Jack County",8843,"-1.8208"
"Archer County",8786,"-3.5777"
"Yoakum County",8591,"9.4256"
"Hamilton County",8484,"0.2245"
"Coleman County",8397,"-5.3539"
"San Augustine County",8232,"-7.0251"
"Mitchell County",8145,"-13.4707"
"McCulloch County",7987,"-2.9644"
"Winkler County",7720,"8.9318"
"Castro County",7665,"-5.6731"
"Goliad County",7584,"5.0561"
"La Salle County",7531,"8.9239"
"Swisher County",7462,"-5.7590"
"Childress County",7291,"3.1259"
"Dallam County",7200,"6.6983"
"Brooks County",7114,"-1.3041"
"Refugio County",7032,"-4.6508"
"Bailey County",7027,"-1.7752"
"Presidio County",6948,"-11.7826"
"Garza County",6578,"1.6850"
"San Saba County",6054,"-1.3042"
"Carson County",6005,"-2.5637"
"Lynn County",5877,"-0.6256"
"Floyd County",5837,"-8.8396"
"Haskell County",5813,"-1.1226"
"Crosby County",5779,"-4.0989"
"Martin County",5753,"19.6299"
"Hartley County",5619,"-7.3384"
"Hansford County",5463,"-2.4638"
"Delta County",5349,"2.0607"
"Jim Hogg County",5248,"-0.7564"
"Wheeler County",5191,"-3.6384"
"Mills County",4921,"-0.9461"
"Hudspeth County",4795,"38.1048"
"Crane County",4794,"9.4021"
"Kimble County",4362,"-5.2151"
"Mason County",4280,"6.7332"
"Concho County",4276,"4.2418"
"Hardeman County",3922,"-5.6985"
"Fisher County",3839,"-3.3728"
"Hemphill County",3825,"0.7905"
"Kinney County",3767,"4.9304"
"Sutton County",3758,"-7.4840"
"Reagan County",3741,"11.5717"
"Upton County",3671,"9.9760"
"Knox County",3653,"-1.8802"
"Baylor County",3582,"-3.3981"
"Crockett County",3499,"-5.4580"
"Real County",3478,"4.6960"
"Coke County",3370,"1.5366"
"Lipscomb County",3355,"2.1931"
"Donley County",3319,"-11.1141"
"Shackelford County",3253,"-3.9563"
"Sherman County",3079,"1.7851"
"Hall County",3028,"-9.8541"
"Collingsworth County",2962,"-3.0124"
"Schleicher County",2895,"-17.3566"
"Cochran County",2836,"-9.8824"
"Jeff Davis County",2252,"-3.9249"
"Dickens County",2249,"-8.0915"
"Culberson County",2204,"-8.3195"
"Menard County",2139,"-4.0807"
"Oldham County",2131,"3.9512"
"Edwards County",1928,"-3.5518"
"Armstrong County",1892,"-0.5258"
"Irion County",1522,"-5.2894"
"Briscoe County",1516,"-7.1078"
"Throckmorton County",1515,"-7.5656"
"Cottle County",1389,"-8.1349"
"Glasscock County",1388,"12.6623"
"Stonewall County",1362,"-8.9572"
"Sterling County",1311,"15.3034"
"Motley County",1234,"2.4066"
"Foard County",1200,"-10.7807"
"Roberts County",903,"-2.2727"
"Terrell County",823,"-18.5955"
"McMullen County",749,"5.3446"
"Kent County",726,"-10.5911"
"Borden County",648,"0.3096"
"Kenedy County",442,"5.9952"
"King County",277,"-3.8194"
"Loving County",152,"80.9524"
