"","Korea","Italy","X"
"X1.22.20",1,0,0
"X1.23.20",1,0,0
"X1.24.20",2,0,0
"X1.25.20",2,0,0
"X1.26.20",3,0,0
"X1.27.20",4,0,0
"X1.28.20",4,0,0
"X1.29.20",4,0,0
"X1.30.20",4,0,1
"X1.31.20",11,2,1
"X2.1.20",12,2,1
"X2.2.20",15,2,2
"X2.3.20",15,2,3
"X2.4.20",16,2,3
"X2.5.20",19,2,3
"X2.6.20",23,2,3
"X2.7.20",24,3,3
"X2.8.20",24,3,3
"X2.9.20",25,3,3
"X2.10.20",27,3,3
"X2.11.20",28,3,3
"X2.12.20",28,3,3
"X2.13.20",28,3,3
"X2.14.20",28,3,3
"X2.15.20",28,3,3
"X2.16.20",29,3,3
"X2.17.20",30,3,3
"X2.18.20",31,3,3
"X2.19.20",31,3,3
"X2.20.20",104,3,3
"X2.21.20",204,20,3
"X2.22.20",433,62,3
"X2.23.20",602,155,3
"X2.24.20",833,229,3
"X2.25.20",977,322,3
"X2.26.20",1261,453,3
"X2.27.20",1766,655,3
"X2.28.20",2337,888,3
"X2.29.20",3150,1128,3
"X3.1.20",3736,1694,3
"X3.2.20",4335,2036,5
"X3.3.20",5186,2502,5
"X3.4.20",5621,3089,28
"X3.5.20",6088,3858,30
"X3.6.20",6593,4636,31
"X3.7.20",7041,5883,34
"X3.8.20",7314,7375,39
"X3.9.20",7478,9172,43
"X3.10.20",7513,10149,56
"X3.11.20",7755,12462,62
"X3.12.20",7869,15113,73
"X3.13.20",7979,17660,82
"X3.14.20",8086,21157,102
"X3.15.20",8162,24747,113
"X3.16.20",8236,27980,119
"X3.17.20",8320,31506,142
"X3.18.20",8413,35713,156
"X3.19.20",8565,41035,194
"X3.20.20",8652,47021,244
"X3.21.20",8799,53578,330
"X3.22.20",8897,59138,396
"X3.23.20",8961,63927,499
"X3.24.20",9037,69176,536
"X3.25.20",9137,74386,657
"X3.26.20",9241,80589,727
"X3.27.20",9332,86498,887
"X3.28.20",9478,92472,987
"X3.29.20",9583,97689,1024
"X3.30.20",9661,101739,1251
"X3.31.20",9786,105792,1397
"X4.1.20",9887,110574,1998
"X4.2.20",9976,115242,2543
"X4.3.20",10062,119827,2567
"X4.4.20",10156,124632,3082
"X4.5.20",10237,128948,3588
"X4.6.20",10284,132547,4778
"X4.7.20",10331,135586,5311
"X4.8.20",10384,139422,5916
"X4.9.20",10423,143626,6725
"X4.10.20",10450,147577,7598
"X4.11.20",10480,152271,8446
"X4.12.20",10512,156363,9205
"X4.13.20",10537,159516,10453
"X4.14.20",10564,162488,11487
"X4.15.20",10591,165155,12322
"X4.16.20",10613,168941,13430
"X4.17.20",10635,172434,14352
"X4.18.20",10653,175925,15722
"X4.19.20",10661,178972,17615
"X4.20.20",10674,181228,18539
"X4.21.20",10683,183957,20080
"X4.22.20",10694,187327,21370
"X4.23.20",10708,189973,23077
"X4.24.20",10718,192994,24530
"X4.25.20",10728,195351,26283
"X4.26.20",10738,197675,27890
"X4.27.20",10752,199414,29451
"X4.28.20",10761,201505,31324
"X4.29.20",10765,203591,33062
"X4.30.20",10774,205463,34863
"X5.1.20",10780,207428,37257
"X5.2.20",10793,209328,39699
"X5.3.20",10801,210717,42505
"X5.4.20",10804,211938,46437
"X5.5.20",10806,213013,49400
"X5.6.20",10810,214457,52987
"X5.7.20",10822,215858,56351
"X5.8.20",10840,217185,59695
"X5.9.20",10874,218268,62808
"X5.10.20",10909,219070,67161
"X5.11.20",10936,219814,70768
"X5.12.20",10962,221216,74292
"X5.13.20",10991,222104,78055
"X5.14.20",11018,223096,81997
"X5.15.20",11037,223885,85784
"X5.16.20",11050,224760,90648
"X5.17.20",11065,225435,95698
"X5.18.20",11078,225886,100328
"X5.19.20",11110,226699,106475
"X5.20.20",11122,227364,112028
"X5.21.20",11142,228006,118226
"X5.22.20",11165,228658,124794
"X5.23.20",11190,229327,131423
"X5.24.20",11206,229858,138536
"X5.25.20",11225,230158,144950
"X5.26.20",11265,230555,150793
"X5.27.20",11344,231139,158086
"X5.28.20",11402,231732,165386
"X5.29.20",11441,232248,173491
"X5.30.20",11468,232664,181827
"X5.31.20",11503,232997,190609
"X6.1.20",11541,233197,198370
"X6.2.20",11590,233515,207191
"X6.3.20",11629,233836,216824
"X6.4.20",11668,234013,226713
"X6.5.20",11719,234531,236184
"X6.6.20",11776,234801,246622
"X6.7.20",11814,234998,257486
"X6.8.20",11852,235278,265928
"X6.9.20",11902,235561,276146
"X6.10.20",11947,235763,286605
"X6.11.20",12003,236142,297535
"X6.12.20",12051,236305,308993
"X6.13.20",12085,236651,320922
"X6.14.20",12121,236989,332424
"X6.15.20",12155,237290,343091
"X6.16.20",12198,237500,354065
"X6.17.20",12257,237828,366946
"X6.18.20",12306,238159,380532
"X6.19.20",12373,238011,395048
"X6.20.20",12421,238275,410451
"X6.21.20",12438,238499,425282
"X6.22.20",12484,238720,440215
"X6.23.20",12535,238833,456183
"X6.24.20",12563,239410,473105
"X6.25.20",12602,239706,490401
"X6.26.20",12653,239961,508953
"X6.27.20",12715,240136,528859
"X6.28.20",12757,240310,548318
"X6.29.20",12800,240436,566840
"X6.30.20",12850,240578,585481
"X7.1.20",12904,240760,604641
"X7.2.20",12967,240961,625544
"X7.3.20",13030,241184,648315
"X7.4.20",13091,241419,673165
"X7.5.20",13137,241611,697413
"X7.6.20",13181,241819,719664
"X7.7.20",13244,241956,742417
"X7.8.20",13293,242149,767296
"X7.9.20",13338,242363,793802
"X7.10.20",13373,242639,820916
"X7.11.20",13417,242827,849522
"X7.12.20",13479,243061,878254
"X7.13.20",13512,243230,906752
"X7.14.20",13551,243344,936181
"X7.15.20",13612,243506,968857
"X7.16.20",13672,243736,1003832
"X7.17.20",13711,243967,1039084
"X7.18.20",13745,244216,1077781
"X7.19.20",13771,244434,1118206
"X7.20.20",13816,244624,1155338
"X7.21.20",13879,244752,1193078
"X7.22.20",13938,245032,1238798
"X7.23.20",13979,245338,1288108
"X7.24.20",14092,245590,1337024
