"","Korea","Italy","X"
"X8.9.20",14626,250566,6245
"X8.10.20",14660,250825,6893
"X8.11.20",14714,251237,7011
"X8.12.20",14770,251713,7075
"X8.13.20",14873,252235,7148
"X8.14.20",15039,252809,7330
"X8.15.20",15318,253438,7330
"X8.16.20",15515,253915,7330
"X8.17.20",15761,254235,7482
"X8.18.20",16058,254636,7581
"X8.19.20",16346,255278,7624
"X8.20.20",16670,256118,7646
"X8.21.20",17002,257065,7687
"X8.22.20",17399,258136,7687
