"","Korea","Italy","X"
"X1.22.20",1,0,0
"X1.23.20",1,0,0
"X1.24.20",2,0,0
"X1.25.20",2,0,0
"X1.26.20",3,0,1
"X1.27.20",4,0,1
"X1.28.20",4,0,2
"X1.29.20",4,0,2
"X1.30.20",4,0,2
"X1.31.20",11,2,4
"X2.1.20",12,2,4
"X2.2.20",15,2,4
"X2.3.20",15,2,4
"X2.4.20",16,2,4
"X2.5.20",19,2,5
"X2.6.20",23,2,5
"X2.7.20",24,3,7
"X2.8.20",24,3,7
"X2.9.20",25,3,7
"X2.10.20",27,3,7
"X2.11.20",28,3,7
"X2.12.20",28,3,7
"X2.13.20",28,3,7
"X2.14.20",28,3,7
"X2.15.20",28,3,7
"X2.16.20",29,3,7
"X2.17.20",30,3,8
"X2.18.20",31,3,8
"X2.19.20",31,3,8
"X2.20.20",104,3,8
"X2.21.20",204,20,9
"X2.22.20",433,62,9
"X2.23.20",602,155,9
"X2.24.20",833,229,10
"X2.25.20",977,322,11
"X2.26.20",1261,453,11
"X2.27.20",1766,655,13
"X2.28.20",2337,888,14
"X2.29.20",3150,1128,20
"X3.1.20",3736,1694,24
"X3.2.20",4335,2036,27
"X3.3.20",5186,2502,30
"X3.4.20",5621,3089,33
"X3.5.20",6088,3858,37
"X3.6.20",6593,4636,49
"X3.7.20",7041,5883,54
"X3.8.20",7314,7375,64
"X3.9.20",7478,9172,77
"X3.10.20",7513,10149,79
"X3.11.20",7755,12462,108
"X3.12.20",7869,15113,117
"X3.13.20",7979,17660,193
"X3.14.20",8086,21157,198
"X3.15.20",8162,24747,252
"X3.16.20",8236,27980,415
"X3.17.20",8320,31506,478
"X3.18.20",8413,35713,657
"X3.19.20",8565,41035,800
"X3.20.20",8652,47021,943
"X3.21.20",8799,53578,1277
"X3.22.20",8897,59138,1469
"X3.23.20",8961,63927,2088
"X3.24.20",9037,69176,2790
"X3.25.20",9137,74386,3251
"X3.26.20",9241,80589,4042
"X3.27.20",9332,86498,4682
"X3.28.20",9478,92472,5576
"X3.29.20",9583,97689,6280
"X3.30.20",9661,101739,7398
"X3.31.20",9786,105792,8527
"X4.1.20",9887,110574,9560
"X4.2.20",9976,115242,11284
"X4.3.20",10062,119827,12437
"X4.4.20",10156,124632,12978
"X4.5.20",10237,128948,15756
"X4.6.20",10284,132547,16563
"X4.7.20",10331,135586,17872
"X4.8.20",10384,139422,19141
"X4.9.20",10423,143626,20654
"X4.10.20",10450,147577,22059
"X4.11.20",10480,152271,23316
"X4.12.20",10512,156363,24298
"X4.13.20",10537,159516,25679
"X4.14.20",10564,162488,27034
"X4.15.20",10591,165155,28208
"X4.16.20",10613,168941,30808
"X4.17.20",10635,172434,32813
"X4.18.20",10653,175925,34355
"X4.19.20",10661,178972,35632
"X4.20.20",10674,181228,37657
"X4.21.20",10683,183957,39401
"X4.22.20",10694,187327,41648
"X4.23.20",10708,189973,43285
"X4.24.20",10718,192994,44054
"X4.25.20",10728,195351,45491
